"","Subbasin","each","rkt.pval","rkt.Sen","rkt.tau","RKTtrend","samples","sum.taxon"
"222","Thornton Creek Subbasin","Zapada.columbiana",1,0,0,"none",0,0
"223","Tibbetts Creek Subbasin","Zapada.columbiana",1,0,0,"none",0,0
"224","Upper Cedar River Subbasin","Zapada.columbiana",1,0,0,"none",0,0
"225","Vashon-Maury Island Subbasin","Zapada.columbiana",1,0,0,"none",0,0
"226","W Lake Sammamish Subbasin","Zapada.columbiana",1,0,0,"none",0,0
"227","W Lake Washington - Seattle N Subbasin","Zapada.columbiana",1,0,0,"none",0,0
"228","W Lake Washington - Seattle S Subbasin","Zapada.columbiana",1,0,0,"none",0,0
"229","Bear Creek Subbasin","Zapada.cinctipes",0.0306191113979162,-0.488782051282054,-0.138151875571821,"negative",120,3394.92053895746
"230","Black River Subbasin","Zapada.cinctipes",0.178122274611106,0,0.0877403846153846,"none",79,2013.17588584705
"231","Coal Creek (Cedar) Subbasin","Zapada.cinctipes",0.48296895886914,0.357142857142858,0.108571428571429,"none",26,606.628389644193
"232","Coal Creek (Green) Subbasin","Zapada.cinctipes",0.0215208239800295,0.46875,0.283387622149837,"positive",31,447.067442377669
"233","Covington Creek Subbasin","Zapada.cinctipes",0.283640971571845,-0.462962962962963,-0.0879284649776453,"none",78,3830.23436188715
"234","Deep Creek Subbasin","Zapada.cinctipes",0.0364102457944546,1.25,0.289099526066351,"positive",27,549.418240793866
"235","Duwamish River Subbasin","Zapada.cinctipes",0.215621713186244,-0.119047619047619,-0.206611570247934,"none",19,441.186256361812
"236","E Lake Sammamish Subbasin","Zapada.cinctipes",0.215860854362417,0.295138888888889,0.111504424778761,"none",68,2482.43623611946
"237","E Lake Washington - Kenmore N Subbasin","Zapada.cinctipes",0.224134301960167,0.296073717948718,0.233333333333333,"none",15,111.956845238095
"238","E Lake Washington - Kenmore S Subbasin","Zapada.cinctipes",0.273561411724749,0.5982905982906,0.230769230769231,"none",14,285.842248181374
"239","Evans Creek Subbasin","Zapada.cinctipes",0.128142303400804,0.555555555555552,0.175097276264591,"none",45,763.355285686224
"240","Forbes Creek Subbasin","Zapada.cinctipes",0.21620795443158,0,-0.152046783625731,"none",4,13.3049242424242
